DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KRW,KWD,MYR,NOK,NZD,OMR,PKR,QAR,SAR,SEK,SGD,THB,TRY,USD,ZAR
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,19.12,49.26,0.0,186.27,54.86,73.22,0.0,10.65,79.46,93.22,9.15,65.83,0.0,231.55,0.0,8.06,47.29,182.45,0.0,19.29,18.72,7.58,52.76,0.0,0.0,71.65,4.9
2020-01-07,19.03,49.0,0.0,185.4,54.67,73.0,0.0,10.62,79.27,93.39,9.12,65.29,0.0,230.6,0.0,8.07,47.25,181.6,0.0,19.2,18.64,7.54,52.58,0.0,0.0,71.32,4.93
2020-01-08,19.11,48.72,0.0,186.2,54.8,73.25,0.0,10.62,79.33,93.44,9.15,65.64,0.0,231.3,0.0,8.04,47.18,182.3,0.0,19.27,18.71,7.53,52.71,0.0,0.0,71.6,4.89
2020-01-09,19.39,53.29,0.0,188.92,55.5,79.97,0.0,11.62,86.53,96.88,9.31,68.23,0.0,233.33,0.0,8.32,48.71,184.98,0.0,19.56,18.99,8.39,53.24,0.0,0.0,72.65,4.24
2020-01-10,18.83,48.04,0.0,183.4,53.63,71.73,0.0,10.41,77.71,91.57,9.03,63.92,0.0,227.9,0.0,7.88,46.32,179.6,0.0,18.99,18.43,7.38,51.97,0.0,0.0,70.55,4.86
2020-01-13,18.8,48.26,0.0,183.2,53.66,71.85,0.0,10.43,77.85,91.3,9.01,63.84,0.0,227.4,0.0,7.89,46.46,179.4,0.0,18.96,18.41,7.38,52.03,0.0,0.0,70.45,4.82
2020-01-15,18.84,48.22,0.0,183.6,53.73,72.41,0.0,10.45,78.05,91.39,9.02,63.79,0.0,228.0,0.0,7.9,46.31,179.8,0.0,19.0,18.45,7.42,52.1,0.0,0.0,70.6,4.8
2020-01-17,18.84,48.21,0.0,183.5,53.75,72.54,0.0,10.45,78.06,91.75,9.02,63.6,0.0,227.9,0.0,7.89,46.51,179.7,0.0,19.0,18.44,7.39,52.13,0.0,0.0,70.58,4.8
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,18.86,48.17,0.0,183.8,53.77,72.46,0.0,10.43,77.89,91.39,9.04,63.7,0.0,228.2,0.0,7.9,46.4,180.0,0.0,19.03,18.47,7.39,52.16,0.0,0.0,70.68,4.8
2020-01-21,18.89,48.12,0.0,184.0,53.88,72.55,0.0,10.45,77.99,91.51,9.05,63.89,0.0,228.5,0.0,7.87,46.39,180.2,0.0,19.05,18.49,7.39,52.17,0.0,0.0,70.77,4.77
2020-01-22,18.88,47.94,0.0,184.0,53.75,72.39,0.0,10.43,77.87,91.74,9.05,63.86,0.0,228.5,0.0,7.83,46.28,180.2,0.0,19.05,18.49,7.4,52.14,0.0,0.0,70.76,4.8
2020-01-23,18.9,48.19,0.0,184.1,53.49,72.56,0.0,10.44,77.97,92.49,9.05,64.17,0.0,228.7,0.0,7.84,46.35,180.3,0.0,19.06,18.51,7.41,52.23,0.0,0.0,70.82,4.84
2020-01-24,18.93,48.08,0.0,184.4,53.69,72.59,0.0,10.42,77.83,92.52,9.07,64.34,0.0,229.0,0.0,7.84,46.59,180.6,0.0,19.09,18.53,7.4,52.22,0.0,0.0,70.92,4.83
2020-01-27,18.96,47.89,0.0,184.7,53.66,72.61,0.0,10.43,77.84,92.26,9.08,64.71,0.0,229.4,0.0,7.79,46.36,180.9,0.0,19.13,18.56,7.38,52.19,0.0,0.0,71.05,4.82
2020-01-28,18.95,47.49,0.0,184.6,53.5,72.59,0.0,10.41,77.7,92.15,9.07,64.68,0.0,228.9,0.0,7.72,46.07,180.8,0.0,19.11,18.55,7.34,51.99,0.0,0.0,70.99,4.76
2020-01-29,18.9,47.53,0.0,184.2,53.5,72.13,0.0,10.38,77.49,91.69,9.05,64.41,0.0,228.7,0.0,7.73,45.93,180.3,0.0,19.07,18.51,7.34,51.87,0.0,0.0,70.83,4.78
2020-01-30,18.95,47.36,0.0,184.6,53.44,72.45,0.0,10.4,77.67,91.87,9.08,64.76,0.0,228.8,0.0,7.69,45.87,180.8,0.0,19.11,18.55,7.34,51.81,0.0,0.0,71.0,4.75
2020-01-31,18.96,47.25,0.0,184.8,53.49,72.7,0.0,10.42,77.81,92.52,9.09,64.69,0.0,229.1,0.0,7.7,45.69,180.9,0.0,19.02,18.57,7.33,51.89,0.0,0.0,71.06,4.72
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,19.0,47.17,0.0,185.13,53.43,73.29,0.0,10.49,78.36,93.17,9.11,65.15,0.0,229.49,0.0,7.69,45.64,181.3,0.0,19.17,18.6,7.35,51.74,0.0,0.0,71.2,4.66
2020-02-04,18.91,47.15,0.0,184.25,52.99,72.7,0.0,10.42,77.79,91.57,9.06,64.72,0.0,228.45,0.0,7.6,45.45,180.41,0.0,19.07,18.51,7.31,51.4,0.0,0.0,70.85,4.69
2020-02-05,18.9,47.24,0.0,184.14,52.95,72.49,0.0,10.39,77.62,91.68,9.06,64.26,0.0,228.1,0.0,7.63,45.54,180.32,0.0,19.06,18.51,7.34,51.0,0.0,0.0,70.82,4.68
2020-02-06,18.91,47.36,0.0,184.25,52.99,72.19,0.0,10.37,77.37,91.47,9.07,64.02,0.0,228.45,0.0,7.66,45.49,180.41,0.0,19.07,18.51,7.35,50.86,0.0,0.0,70.85,4.7
2020-02-07,18.91,47.16,0.0,184.3,53.03,72.17,0.0,10.35,77.32,91.21,9.07,64.04,0.0,228.52,0.0,7.65,45.39,180.46,0.0,19.08,18.52,7.33,50.86,0.0,0.0,70.87,4.66
2020-02-10,18.95,47.22,0.0,184.64,53.18,72.08,0.0,10.34,77.21,91.06,9.08,64.23,0.0,228.94,0.0,7.61,45.09,180.79,0.0,1.08,18.55,7.32,50.81,0.0,0.0,71.0,4.64
2020-02-11,18.91,47.01,0.0,184.25,52.93,71.86,0.0,10.29,76.8,91.01,9.07,64.05,0.0,228.45,0.0,7.6,44.88,180.41,0.0,19.07,18.52,7.3,50.77,0.0,0.0,70.85,4.64
2020-02-12,18.9,47.2,0.0,184.17,53.01,72.04,0.0,10.29,76.77,91.29,9.06,64.02,0.0,228.36,0.0,7.62,45.4,180.33,0.0,19.06,18.51,7.32,50.84,0.0,0.0,70.82,4.7
2020-02-13,18.95,47.24,0.0,184.6,53.26,72.03,0.0,10.27,76.63,91.44,9.08,64.15,0.0,228.3,0.0,7.63,45.43,180.76,0.0,19.11,18.56,7.32,50.89,0.0,0.0,70.99,4.68
2020-02-14,18.92,47.22,0.0,184.37,53.15,71.8,0.0,10.22,76.29,91.96,9.07,64.09,0.0,228.01,0.0,7.62,45.27,180.54,0.0,19.09,18.53,7.29,50.75,0.0,0.0,70.9,4.66
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,18.95,47.04,0.0,184.63,53.26,71.86,0.0,10.24,76.36,91.77,9.08,64.28,0.0,228.33,0.0,7.6,45.16,180.68,0.0,19.11,18.56,7.27,50.77,0.0,0.0,71.0,4.63
2020-02-20,19.04,46.84,0.0,185.54,53.57,72.0,0.0,10.26,76.49,91.54,9.12,63.64,0.0,228.64,0.0,7.63,44.99,181.67,0.0,19.21,18.65,7.24,50.57,0.0,0.0,71.35,4.64
2020-02-21,19.03,46.59,0.0,188.74,53.47,71.95,0.0,10.24,76.4,91.41,9.1,63.22,0.0,228.48,0.0,7.61,44.63,181.54,0.0,19.19,18.64,7.23,50.66,0.0,0.0,71.3,4.63
2020-02-24,19.08,46.76,0.0,185.9,53.58,72.33,0.0,10.3,76.83,91.95,9.12,63.66,0.0,228.44,0.0,7.6,44.83,182.05,0.0,19.25,18.69,7.27,50.75,0.0,0.0,71.5,4.65
2020-02-25,19.07,46.79,0.0,185.78,53.45,72.45,0.0,10.33,77.08,91.87,9.11,64.05,0.0,228.92,0.0,7.61,45.01,181.9,0.0,19.23,18.67,7.31,50.88,0.0,0.0,71.44,4.63
2020-02-26,19.03,46.56,0.0,185.41,53.37,72.39,0.0,10.31,76.93,92.12,9.09,64.08,0.0,228.48,0.0,7.57,44.63,181.54,0.0,19.19,18.63,7.29,50.71,0.0,0.0,71.3,4.59
2020-02-27,19.01,46.22,0.0,185.21,53.07,72.53,0.0,10.34,77.13,91.48,9.08,64.15,0.0,227.89,0.0,7.54,44.44,181.33,0.0,19.17,18.61,7.29,50.71,0.0,0.0,71.22,4.56
2020-02-28,19.14,46.28,0.0,186.46,53.01,73.54,0.0,10.5,78.33,91.85,9.14,65.43,0.0,229.67,0.0,7.54,44.38,182.58,0.0,19.3,18.73,7.35,51.03,0.0,0.0,71.7,4.49
2020-03-03,19.34,46.91,0.0,191.75,53.95,75.0,0.0,10.74,80.2,92.12,9.25,66.7,0.0,232.09,0.0,7.74,44.96,184.46,0.0,19.5,18.93,7.55,51.75,0.0,0.0,72.45,4.59
2020-03-04,19.46,47.6,0.0,192.98,54.26,75.54,0.0,10.82,80.81,92.84,9.32,67.39,0.0,233.48,0.0,7.82,45.38,185.6,0.0,19.62,19.05,7.67,52.24,0.0,0.0,72.9,4.65
2020-03-05,19.47,47.86,0.0,193.12,54.14,75.67,0.0,10.81,80.72,93.34,9.33,67.5,0.0,233.76,0.0,7.83,45.56,185.75,0.0,19.64,19.06,7.66,52.35,0.0,0.0,72.95,4.68
2020-03-06,19.62,48.0,0.0,194.57,54.51,77.17,0.0,10.98,81.99,94.67,9.4,68.9,0.0,235.52,0.0,7.84,45.97,187.15,0.0,19.79,19.2,7.72,52.76,0.0,0.0,73.5,4.59
2020-03-07,19.89,51.22,0.0,193.69,54.6,78.09,0.0,11.16,83.14,92.23,9.55,68.82,0.0,237.26,0.0,7.78,48.24,189.71,0.0,20.05,19.47,7.95,53.14,0.0,0.0,74.5,4.31
2020-03-09,19.48,52.89,0.0,189.83,55.47,79.43,0.0,11.53,85.81,96.54,9.36,68.21,0.0,234.04,0.0,8.17,48.91,185.89,0.0,19.65,19.08,8.31,53.25,0.0,0.0,73.0,4.28
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,19.74,51.51,0.0,192.26,55.56,79.82,0.0,11.5,85.6,94.99,9.48,70.09,0.0,236.7,0.0,7.68,48.62,188.29,0.0,19.91,19.33,8.25,53.9,0.0,0.0,73.95,4.47
2020-03-12,19.69,47.22,0.0,195.31,53.19,78.45,0.0,11.1,82.93,94.07,9.43,70.88,0.0,235.92,0.0,7.48,45.82,187.83,0.0,19.86,19.27,7.68,52.46,0.0,0.0,73.78,4.4
2020-03-13,19.67,45.95,0.0,195.0,52.74,77.46,0.0,10.99,82.1,91.94,9.42,69.31,0.0,234.55,0.0,7.2,44.85,187.53,0.0,19.84,19.25,7.53,52.01,0.0,0.0,73.7,4.36
2020-03-16,19.67,44.96,0.0,194.58,52.91,76.89,0.0,10.89,81.33,90.43,9.43,68.39,0.0,234.59,0.0,7.18,44.22,187.7,0.0,19.84,19.25,7.54,51.65,0.0,0.0,73.7,4.42
2020-03-17,19.69,44.74,0.0,194.74,52.48,77.11,0.0,10.98,81.91,89.88,9.44,68.81,0.0,233.75,0.0,7.18,44.33,187.85,0.0,19.86,19.26,7.53,51.65,0.0,0.0,73.76,4.36
2020-03-18,19.71,43.68,0.0,195.19,51.54,76.29,0.0,10.8,80.64,88.51,9.45,68.34,0.0,233.44,0.0,6.95,43.35,187.91,0.0,19.88,19.3,7.41,51.23,0.0,0.0,73.85,4.31
2020-03-19,19.91,41.85,0.0,196.96,51.03,76.67,0.0,10.84,80.94,85.57,9.54,68.2,0.0,235.41,0.0,6.27,41.55,189.97,0.0,20.08,19.49,7.17,51.2,0.0,0.0,74.6,4.19
2020-03-20,19.86,43.09,0.0,196.59,51.36,75.25,0.0,10.62,79.29,85.88,9.53,67.05,0.0,234.28,0.0,6.62,42.34,189.51,0.0,20.03,19.39,7.14,51.04,0.0,0.0,74.42,4.21
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,20.19,43.08,0.0,196.21,52.14,76.38,0.0,10.81,80.57,87.6,9.69,68.19,0.0,238.37,0.0,6.34,42.29,192.39,0.0,20.36,19.75,7.23,51.62,0.0,0.0,75.65,4.19
2020-03-24,20.18,44.3,0.0,199.71,52.12,76.6,0.0,10.88,81.12,87.36,9.68,68.08,0.0,237.02,0.0,6.6,43.36,192.46,0.0,20.35,19.73,7.36,51.69,0.0,0.0,75.6,4.19
2020-03-26,20.03,43.98,0.0,194.47,52.41,76.43,0.0,10.89,81.28,88.33,9.62,67.27,0.0,233.03,0.0,6.96,43.45,191.01,0.0,20.2,19.58,7.37,51.55,0.0,0.0,75.05,4.23
2020-03-27,19.75,44.62,0.0,192.44,52.46,76.41,0.0,10.9,81.25,90.1,9.48,67.8,0.0,234.41,0.0,7.02,43.73,188.34,0.0,19.92,19.31,7.42,51.6,0.0,0.0,74.0,4.18
2020-03-30,20.03,45.56,0.0,198.67,53.11,77.85,0.0,11.07,82.56,92.24,9.62,69.02,0.0,233.77,0.0,7.1,44.77,190.96,0.0,20.2,19.58,7.51,52.28,0.0,0.0,75.05,4.08
2020-03-31,20.03,45.86,0.0,198.67,52.65,77.57,0.0,11.01,82.14,92.05,9.62,68.76,0.0,233.5,0.0,7.08,44.77,191.06,0.0,20.2,19.58,7.42,52.41,0.0,0.0,75.05,4.1
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,19.5,52.63,0.0,189.97,55.3,79.58,0.0,11.56,85.98,96.43,9.37,68.3,0.0,234.14,0.0,8.14,48.54,186.02,0.0,19.66,19.09,8.32,53.22,0.0,0.0,73.05,4.28
2020-04-11,19.87,52.45,0.0,193.58,55.91,80.62,0.0,11.57,86.14,96.0,9.54,70.36,0.0,238.16,0.0,7.82,49.17,189.58,0.0,19.9,19.46,8.31,54.15,0.0,0.0,74.45,4.49
2020-04-13,20.26,47.63,0.0,200.82,54.1,78.01,0.0,11.06,82.43,94.08,9.73,69.83,0.0,238.94,0.0,7.4,45.69,193.15,0.0,20.43,19.77,7.59,53.28,0.0,0.0,75.9,4.1
2020-04-20,20.28,47.8,0.0,200.55,53.71,77.95,0.0,11.01,82.04,94.28,9.74,69.99,0.0,238.81,0.0,7.27,45.64,193.46,0.0,20.46,19.83,7.56,53.18,0.0,0.0,76.0,3.96
2020-04-29,20.1,48.68,0.0,195.3,53.65,76.76,0.0,10.89,81.1,93.26,9.65,70.16,0.0,238.06,0.0,7.2,45.52,191.67,0.0,20.27,19.63,7.59,52.95,0.0,0.0,75.3,3.98
2020-04-30,19.94,48.48,0.0,193.49,53.55,76.03,0.0,10.81,80.56,92.52,9.58,69.62,0.0,236.43,0.0,7.21,45.45,190.15,0.0,20.11,19.48,7.55,52.68,0.0,0.0,74.7,4.03
2020-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,20.08,48.31,0.0,195.17,53.37,76.82,0.0,10.85,80.82,92.29,9.65,69.46,0.0,238.46,0.0,7.28,45.41,191.55,0.0,20.26,19.63,7.61,52.83,0.0,0.0,75.25,3.99
2020-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,19.95,50.79,0.0,193.87,54.98,77.1,0.0,11.14,82.94,93.29,9.58,68.87,0.0,237.8,0.0,7.79,46.83,190.35,0.0,20.12,19.52,7.96,53.03,0.0,0.0,74.75,4.25
2020-06-03,19.94,51.28,0.0,193.74,54.97,77.13,0.0,11.16,83.14,93.41,9.58,68.34,0.0,237.61,0.0,7.82,47.47,190.2,0.0,20.11,19.51,7.99,53.19,0.0,0.0,74.7,4.28
2020-06-04,20.06,51.33,0.0,194.91,55.28,77.47,0.0,11.23,83.68,93.64,9.63,68.45,0.0,238.91,0.0,7.87,47.83,191.34,0.0,20.23,19.62,8.02,53.32,0.0,0.0,75.15,4.34
2020-06-05,20.02,51.64,0.0,194.52,55.23,77.8,0.0,11.34,84.49,93.9,9.61,68.21,0.0,238.64,0.0,7.98,48.15,190.98,0.0,20.19,19.58,8.11,53.48,0.0,0.0,75.0,4.35
2020-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,20.08,51.95,0.0,195.14,55.71,77.53,0.0,11.32,84.38,95.07,9.65,68.26,0.0,239.73,0.0,8.05,48.64,191.59,0.0,20.25,19.64,8.15,53.69,0.0,0.0,75.24,4.39
2020-06-09,20.04,52.04,0.0,194.78,55.73,77.74,0.0,11.3,84.19,94.89,9.63,69.02,0.0,238.97,0.0,8.05,48.78,191.24,0.0,20.22,19.62,8.11,53.74,0.0,0.0,75.1,4.4
