DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KRW,KWD,MYR,NOK,NZD,OMR,PKR,QAR,SAR,SEK,SGD,THB,TRY,USD,ZAR
2022-02-11,20.03,52.99,0.0,195.14,58.52,80.27,0.0,11.41,84.84,100.94,9.56,64.22,0.0,242.99,0.0,8.43,49.46,191.1,0.0,20.2,19.61,7.98,55.47,0.0,0.0,75.05,4.84
2022-02-14,20.06,52.98,0.0,195.4,58.62,80.55,0.0,11.39,84.66,101.15,9.57,64.63,0.0,243.54,0.0,8.42,49.37,191.37,0.0,20.18,19.64,7.99,55.46,0.0,0.0,75.15,4.83
2022-02-15,20.07,53.09,0.0,195.53,58.66,80.69,0.0,11.37,84.52,101.22,9.58,64.73,0.0,243.41,0.0,8.42,49.44,191.48,0.0,20.24,19.65,7.98,55.52,0.0,0.0,75.2,4.89
2022-02-17,19.95,53.18,0.0,194.36,58.4,80.38,0.0,11.33,84.24,100.91,9.52,64.43,0.0,241.92,0.0,8.33,49.52,190.34,0.0,19.98,19.53,7.97,55.27,0.0,0.0,74.75,4.87
2022-02-18,19.94,53.3,0.0,194.23,58.47,80.45,0.0,11.34,84.34,101.11,9.52,64.44,0.0,241.87,0.0,8.34,49.75,190.21,0.0,19.96,19.52,7.97,55.29,0.0,0.0,74.7,4.88
2022-02-21,19.79,52.94,0.0,192.81,57.88,79.95,0.0,11.25,83.68,100.44,9.45,64.07,0.0,240.18,0.0,8.23,49.42,188.7,0.0,19.82,19.37,7.89,54.82,0.0,0.0,74.15,4.82
2022-02-22,19.84,52.97,0.0,193.32,57.9,80.47,0.0,11.22,83.42,100.48,9.47,64.42,0.0,240.67,0.0,8.21,49.48,189.2,0.0,19.96,19.43,7.82,54.85,0.0,0.0,74.35,4.8
2022-02-23,19.82,53.13,0.0,193.07,57.87,79.97,0.0,11.23,83.53,100.35,9.45,64.13,0.0,240.29,0.0,8.3,49.82,188.95,0.0,19.85,19.4,7.91,54.88,0.0,0.0,74.25,4.83
2022-02-24,20.0,53.33,0.0,194.9,58.19,80.81,0.0,11.26,83.72,100.43,9.54,65.0,0.0,242.35,0.0,8.31,49.92,190.86,0.0,20.12,19.58,7.82,55.11,0.0,0.0,74.95,4.79
2022-02-25,19.89,53.06,0.0,193.76,57.9,80.0,0.0,11.16,83.02,99.45,9.48,64.23,0.0,240.9,0.0,8.28,49.59,189.75,0.0,19.92,19.47,7.81,54.79,0.0,0.0,74.52,4.78
2022-02-28,20.0,53.48,0.0,194.88,58.35,80.5,0.0,11.19,83.23,99.72,9.53,64.46,0.0,242.12,0.0,8.37,49.95,190.86,0.0,20.03,19.59,7.84,54.85,0.0,0.0,74.95,4.76
2022-03-02,20.12,54.33,0.0,196.05,58.91,81.34,0.0,11.2,83.24,99.79,9.59,65.11,0.0,243.55,0.0,8.44,50.67,191.85,0.0,20.3,19.7,7.77,55.2,0.0,0.0,75.4,4.8
2022-03-03,20.11,54.48,0.0,195.94,59.26,81.15,0.0,11.17,83.07,100.4,9.58,64.71,0.0,243.39,0.0,8.44,50.67,191.87,0.0,20.14,19.69,7.7,55.22,0.0,0.0,75.35,4.81
2022-03-04,20.19,55.07,0.0,196.7,59.19,81.7,0.0,11.15,82.87,100.35,9.62,65.14,0.0,244.45,0.0,8.41,51.14,192.63,0.0,20.32,19.77,7.7,55.38,0.0,0.0,75.65,4.87
