DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KES,KRW,KWD,LKR,MYR,NOK,NZD,OMR,PKR,QAR,RUB,SAR,SEK,SGD,THB,TRY,USD,ZAR
2023-01-01,21.96,55.22,0.0,213.94,60.37,88.44,0.0,11.73,87.1,98.54,10.49,61.7,,0.0,263.76,,0.0,8.27,51.64,209.39,0.0,22.0,,21.46,7.83,60.84,0.0,0.0,82.3,4.74
2023-01-02,21.95,55.43,0.0,213.84,60.43,88.19,0.0,11.76,87.34,98.69,10.47,62.43,,0.0,263.29,,0.0,8.3,51.69,209.4,0.0,21.98,,21.44,7.83,61.05,0.0,0.0,82.25,4.74
2023-01-03,21.96,55.63,0.0,213.97,60.37,88.39,0.0,11.74,87.23,98.79,10.47,63.06,,0.0,263.67,,0.0,8.31,51.88,209.53,0.0,21.99,,21.46,7.83,61.16,0.0,0.0,82.3,4.76
2023-01-04,21.98,55.95,0.0,214.1,60.28,88.11,0.0,11.69,86.79,98.73,10.46,62.84,,0.0,263.53,,0.0,8.2,51.79,209.68,0.0,22.02,,21.47,7.81,61.17,0.0,0.0,82.35,4.8
2023-01-05,21.98,55.59,0.0,214.12,60.62,87.89,0.0,11.69,86.76,98.57,10.47,61.98,,0.0,263.41,,0.0,8.11,51.3,209.68,0.0,22.0,,21.47,7.8,61.05,0.0,0.0,82.36,4.76
2023-01-06,21.92,55.16,0.0,213.58,60.29,87.06,0.0,11.57,85.88,97.38,10.45,61.0,,0.0,262.46,,0.0,7.99,50.89,209.15,0.0,21.94,,21.42,7.67,60.78,0.0,0.0,82.15,4.69
2023-01-07,21.86,55.77,0.0,212.94,60.55,87.58,0.0,11.65,86.56,98.39,10.42,61.64,,0.0,262.2,,0.0,8.15,51.59,208.37,0.0,21.86,,21.36,7.74,60.98,0.0,0.0,81.9,4.68
2023-01-08,21.86,55.77,0.0,212.94,60.55,87.58,0.0,11.65,86.56,98.39,10.42,61.64,,0.0,262.2,,0.0,8.15,51.59,208.37,0.0,21.86,,21.36,7.74,60.98,0.0,0.0,81.9,4.68
2023-01-09,21.86,56.14,0.0,212.93,60.7,87.72,0.0,11.68,86.76,98.68,10.42,61.93,,0.0,262.24,,0.0,8.16,51.88,208.51,0.0,21.86,,21.36,7.76,61.18,0.0,0.0,81.9,4.7
2023-01-10,21.78,55.77,0.0,212.15,60.57,87.92,0.0,11.71,87.02,98.6,10.38,61.42,,0.0,261.5,,0.0,8.18,51.56,207.75,0.0,21.83,,21.3,7.82,60.91,0.0,0.0,81.6,4.71
2023-01-11,21.68,55.53,0.0,211.26,60.14,87.27,0.0,11.66,86.57,98.11,10.33,60.98,,0.0,260.3,,0.0,8.09,51.35,206.88,0.0,21.73,,21.2,7.76,60.68,0.0,0.0,81.26,4.68
2023-01-12,21.68,55.53,0.0,211.26,60.14,87.27,0.0,11.66,86.57,98.11,10.33,60.98,,0.0,260.3,,0.0,8.09,51.35,206.88,0.0,21.73,,21.2,7.76,60.68,0.0,0.0,81.26,4.68
2023-01-13,21.68,55.53,0.0,211.26,60.14,87.27,0.0,11.66,86.57,98.11,10.33,60.98,,0.0,260.3,,0.0,8.09,51.35,206.88,0.0,21.73,,21.2,7.76,60.68,0.0,0.0,81.26,4.68
2023-01-14,21.68,55.53,0.0,211.26,60.14,87.27,0.0,11.66,86.57,98.11,10.33,60.98,,0.0,260.3,,0.0,8.09,51.35,206.88,0.0,21.73,,21.2,7.76,60.68,0.0,0.0,81.26,4.68
2023-01-15,21.68,55.53,0.0,211.26,60.14,87.27,0.0,11.66,86.57,98.11,10.33,60.98,,0.0,260.3,,0.0,8.09,51.35,206.88,0.0,21.73,,21.2,7.76,60.68,0.0,0.0,81.26,4.68
2023-01-16,21.68,55.93,0.0,211.27,60.2,86.93,0.0,11.73,87.21,98.42,10.33,62.69,,0.0,260.71,,0.0,8.16,51.38,206.88,0.0,21.71,,21.2,7.76,61.13,0.0,0.0,81.25,4.67
